name,owner_login,owner_type,language,stargazers_count,forks_count,open_issues_count,size_kb,license_name,has_wiki,is_fork,archived,created_at
public-apis,public-apis,Organization,Python,477755,52737,1917,8182,MIT,False,False,False,2016-03-20T23:49:42Z
free-programming-books,EbookFoundation,Organization,Python,396327,66742,83,21888,CC-BY-4.0,False,False,False,2013-10-11T06:50:37Z
system-design-primer,donnemartin,User,Python,368869,58308,613,11277,NOASSERTION,True,False,False,2017-02-26T16:15:28Z
awesome-python,vinta,User,Python,319424,28695,19,6104,NOASSERTION,False,False,False,2014-06-27T21:00:06Z
project-based-learning,practical-tutorials,Organization,Python,282683,36195,267,482,MIT,True,False,False,2017-04-12T05:07:46Z
hermes-agent,NousResearch,Organization,Python,243572,50237,41106,916074,MIT,True,False,False,2025-07-22T22:22:28Z
Python,TheAlgorithms,Organization,Python,224399,51025,729,17147,MIT,True,False,False,2016-07-16T09:44:01Z
yt-dlp,yt-dlp,Organization,Python,189912,16466,2644,64775,Unlicense,True,False,False,2020-10-26T04:22:55Z
AutoGPT,Significant-Gravitas,Organization,Python,187215,46029,611,616119,NOASSERTION,True,False,False,2023-03-16T09:21:07Z
markitdown,microsoft,Organization,Python,181937,13362,641,4638,MIT,True,False,False,2024-11-13T19:56:40Z
HelloGitHub,521xueweihan,User,Python,175568,12753,712,9332,,False,False,False,2016-05-04T06:24:11Z
skills,anthropics,Organization,Python,175299,20753,1218,4763,,False,False,False,2025-09-22T15:53:31Z
transformers,huggingface,Organization,Python,165018,34485,2401,512235,Apache-2.0,True,False,False,2018-10-29T13:56:00Z
stable-diffusion-webui,AUTOMATIC1111,User,Python,164869,30550,2506,36552,AGPL-3.0,True,False,False,2022-08-22T14:05:26Z
langflow,langflow-ai,Organization,Python,154480,10047,1063,1536398,MIT,True,False,False,2023-02-08T22:28:03Z
open-webui,open-webui,Organization,Python,151407,22136,279,422672,NOASSERTION,True,False,False,2023-10-06T22:08:27Z
langchain,langchain-ai,Organization,Python,145984,24385,462,595949,MIT,False,False,False,2022-10-17T02:58:36Z
claude-code,anthropics,Organization,Python,144502,23067,12598,29542,,False,False,False,2025-02-22T17:41:21Z
youtube-dl,ytdl-org,Organization,Python,141169,10669,4125,65510,Unlicense,False,False,False,2010-10-31T14:35:07Z
awesome-llm-apps,Shubhamsaboo,User,Python,136741,20105,12,219549,Apache-2.0,True,False,False,2024-04-29T05:30:25Z
spec-kit,github,Organization,Python,134293,12085,321,17447,MIT,False,False,False,2025-08-21T22:54:31Z
ComfyUI,Comfy-Org,Organization,Python,132145,15581,4817,97412,GPL-3.0,True,False,False,2023-01-17T03:15:56Z
ui-ux-pro-max-skill,nextlevelbuilder,Organization,Python,126216,13489,84,8162,MIT,False,False,False,2025-11-30T11:36:31Z
MoneyPrinterTurbo,harry0703,User,Python,121692,18782,25,537185,MIT,True,False,False,2024-03-11T02:57:34Z
graphify,Graphify-Labs,Organization,Python,116150,11265,1289,11795,Apache-2.0,True,False,False,2026-04-03T15:49:07Z
browser-use,browser-use,Organization,Python,113759,12500,411,35021,MIT,False,False,False,2024-10-31T16:00:56Z
whisper,openai,Organization,Python,108774,13186,146,12797,MIT,False,False,False,2022-09-16T20:02:54Z
DeepSeek-V3,deepseek-ai,Organization,Python,104427,16734,219,1768,MIT,False,False,False,2024-12-26T09:52:40Z
TradingAgents,TauricResearch,Organization,Python,103473,19918,364,5459,Apache-2.0,True,False,False,2024-12-28T03:31:08Z
pytorch,pytorch,Organization,Python,102871,29163,17599,1552128,NOASSERTION,True,False,False,2016-08-13T05:26:41Z
fastapi,fastapi,Organization,Python,102209,9867,80,55416,MIT,False,False,False,2018-12-08T08:21:47Z
thefuck,nvbn,User,Python,97788,3960,457,4043,MIT,True,False,False,2015-04-08T15:08:04Z
Deep-Live-Cam,hacksider,User,Python,96570,14098,43,156221,AGPL-3.0,True,False,False,2023-09-24T13:19:31Z
autoresearch,karpathy,User,Python,95446,13408,194,530,,True,False,False,2026-03-06T22:00:43Z
manim,3b1b,User,Python,93537,7682,498,77262,MIT,True,False,False,2015-03-22T18:50:58Z
vllm,vllm-project,Organization,Python,91306,21928,7744,276725,Apache-2.0,False,False,False,2023-02-09T11:23:20Z
sherlock,sherlock-project,Organization,Python,91150,10718,339,19046,MIT,True,False,False,2018-12-24T14:30:48Z
django,django,Organization,Python,90390,34245,492,282843,BSD-3-Clause,False,False,False,2012-04-28T02:47:18Z
core,home-assistant,Organization,Python,90339,38536,3486,879509,Apache-2.0,False,False,False,2013-09-17T07:29:48Z
PaddleOCR,PaddlePaddle,Organization,Python,89159,11319,239,1964014,Apache-2.0,False,False,False,2020-05-08T10:38:16Z
odysseus,odysseus-dev,Organization,Python,87036,828,1173,28982,AGPL-3.0,False,False,False,2026-05-31T14:05:51Z
devops-exercises,bregman-arie,User,Python,84405,20279,55,8007,NOASSERTION,True,False,False,2019-10-03T17:31:21Z
funNLP,fighting41love,User,Python,82973,15279,53,174188,,True,False,False,2018-08-21T11:20:39Z
deer-flow,bytedance,Organization,Python,82100,11312,910,61965,MIT,False,False,False,2025-05-07T02:50:19Z
crawl4ai,unclecode,User,Python,82012,8449,184,151097,Apache-2.0,True,False,False,2024-05-09T09:48:50Z
PayloadsAllTheThings,swisskyrepo,User,Python,80737,17352,36,23345,MIT,False,False,False,2016-10-18T07:29:07Z
d2l-zh,d2l-ai,Organization,Python,80450,12377,125,316965,Apache-2.0,False,False,False,2017-08-23T04:40:24Z
MinerU,opendatalab,Organization,Python,79530,6657,109,185724,NOASSERTION,False,False,False,2024-02-29T08:52:34Z
Scrapling,D4Vinci,User,Python,79478,7988,15,10520,BSD-3-Clause,True,False,False,2024-10-13T20:29:53Z
hackingtool,Z4nzu,User,Python,79375,9000,131,6457,MIT,True,False,False,2020-04-11T09:21:31Z
Agent-Reach,Panniantong,User,Python,78916,6796,129,2014,MIT,True,False,False,2026-02-24T02:10:24Z
screenshot-to-code,abi,User,Python,78349,9526,143,11335,MIT,True,False,False,2023-11-14T17:53:32Z
hello-agents,datawhalechina,Organization,Python,77878,9683,192,236258,NOASSERTION,True,False,False,2025-09-07T09:50:24Z
models,tensorflow,Organization,Python,77657,44844,1274,660627,NOASSERTION,True,False,False,2016-02-05T01:15:20Z
cpython,python,Organization,Python,76456,35356,9635,872360,NOASSERTION,False,False,False,2017-02-10T19:23:51Z
learn-claude-code,shareAI-lab,Organization,Python,76374,12287,38,6035,MIT,True,False,False,2025-06-29T15:34:15Z
unsloth,unslothai,Organization,Python,75905,6902,1360,326411,Apache-2.0,False,False,False,2023-11-29T16:50:09Z
awesome-claude-skills,ComposioHQ,Organization,Python,74713,8623,1433,3679,,True,False,False,2025-10-17T07:15:01Z
superset,apache,Organization,Python,74689,18236,591,1132012,Apache-2.0,True,False,False,2015-07-21T18:55:34Z
LlamaFactory,hiyouga,User,Python,74662,9145,1147,14002,Apache-2.0,False,False,False,2023-05-28T10:09:12Z
awesome-machine-learning,josephmisiti,User,Python,74284,15641,34,2782,NOASSERTION,False,False,False,2014-07-15T19:11:19Z
flask,pallets,Organization,Python,73580,16979,4,12311,BSD-3-Clause,False,False,False,2010-04-06T11:11:59Z
30-Days-Of-Python,Asabeneh,User,Python,73184,13396,206,31468,,True,False,False,2019-11-19T17:24:16Z
OpenBB,OpenBB-finance,Organization,Python,72813,7526,117,2424682,NOASSERTION,False,False,False,2020-12-20T10:46:38Z
MiroFish,666ghj,User,Python,72061,11178,123,16732,AGPL-3.0,True,False,False,2025-11-26T04:23:02Z
gpt_academic,binary-husky,User,Python,71310,8316,330,72756,GPL-3.0,True,False,False,2023-03-20T09:05:13Z
